date,value
2026-05-29,317000
2026-06-01,349000
2026-06-02,360500
2026-06-04,351500
2026-06-05,329000
2026-06-08,295500
2026-06-09,322000
2026-06-10,302500
2026-06-11,299000
2026-06-12,322500
2026-06-15,337000
2026-06-16,343000
2026-06-17,346500
2026-06-18,362500
2026-06-19,354000
2026-06-22,353500
2026-06-23,310000
2026-06-24,340500
2026-06-25,358500
2026-06-26,339500
2026-06-29,323000
2026-06-30,334000
2026-07-01,314500
2026-07-02,286000
2026-07-03,309500
2026-07-06,318000
2026-07-07,296000
2026-07-08,277500
2026-07-09,278000
2026-07-10,285000
2026-07-13,254500
2026-07-14,263000
2026-07-15,279500
2026-07-16,255000
2026-07-20,244000
2026-07-21,259000
2026-07-22,260500
2026-07-23,270000
2026-07-24,249500
2026-07-27,254000
2026-07-28,220000
2026-07-29,208500
2026-07-30,207000
2026-07-31,262500
2026-08-03,239500
2026-08-04,240000
2026-08-05,246000
2026-08-06,230500
2026-08-07,231000
2026-08-10,230000
2026-08-11,239500
2026-08-12,255500
2026-08-13,268000
2026-08-14,274500
2026-08-18,268500
2026-08-19,247500
2026-08-20,271000
2026-08-21,281500
2026-08-24,257000
2026-08-25,257000
2026-08-26,261500
2026-08-27,266000
2026-08-28,257000
2026-08-31,260000
2026-09-01,261000
2026-09-02,250500
2026-09-03,250000
2026-09-04,255500
